Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 29, Brooklyn, New York",29-RC-326632,"SCO Family of Services Tyree Learning Center",Closed,09/26/2023,11/15/2023,"Certific. of Representative",Accord,NY,A,"Single Labor Organization",Initial,11/02/2023,39,,"Civil Service Employees Association, Inc., Local 1000",30,,,,,2,32,,3,,"Civil Service Employees Association, Inc., Local 1000","Included:  All full-time and regular part-time teachers, teacher assistants and one-on-one aides employed at the Tyree Learning Center located at Park and Downing Avenue, Sea Cliff, NY 11579.

Excluded:  All on-call employees, psychologists, social workers, art therapists, music therapists, speech therapists, nurses, clerical employees, other professional employees, guards, and supervisors as defined in the Act.

",,,
"Region 19, Seattle, Washington",19-RD-326934,"Rita's Fine Foods, Inc. d/b/a Glo's Diner",Closed,09/28/2023,11/13/2023,"Certification of Results",Seattle,WA,A,"Single Labor Organization",Initial,11/02/2023,23,,"Restaurant Workers United",11,,,,,12,23,,,,,"All full-time and regular part-time employees employed by the Employer at its Seattle, Washington facility; excluding all owners, bookkeepers, confidential employees, managerial employees, and guards and supervisors as defined in the Act. 
",,,
"Region 19, Seattle, Washington",19-RC-326954,"Renovo Solutions, LLC",Closed,09/29/2023,11/13/2023,"Certific. of Representative",Kirkland,WA,A,"Single Labor Organization",Initial,11/02/2023,7,,"International Association of Machinists and Aerospace Workers, District Lodge 751, AFL-CIO",5,,,,,2,7,,,,"International Association of Machinists and Aerospace Workers, District Lodge 751, AFL-CIO","All full-time and regular part-time Biomed Equipment Techs I and II, Biomed Equipment Tech Apprentices, Biomed Supervisor 1 , and Clinical Systems Engineers employed by the Employer at the EvergreenHealth – Kirland facility located at 12040 NE 128th St, Kirkland, WA 98034, and the EvergreenHealth – Monroe facility located at 14701 179th Ave SE, Monroe, WA 98272; excluding all other employees, guards, and supervisors as defined in the Act.",,,
"Region 20, San Francisco, California",20-RC-327065,"Weyerhaeuser NR Company",Closed,10/02/2023,11/16/2023,"Certific. of Representative",Redding,CA,A,"Single Labor Organization",Initial,11/02/2023,6,,"Teamsters Local 137",6,,,,,,6,,,,"Teamsters Local 137","All full-time and regular part-time Forklift Operators and Lead Forklift Operators employed by the Employer at its 10929 Iron Mountain Road facility in Redding, California; excluding all other employees, including administrative employees, clerical employees, customer service representatives, sales employees, confidential employees, temporary employees, contract and/or agency employees, guards, managers, and supervisors as defined in the Act.",,,
"Region 08, Cleveland, Ohio",08-RM-326520,"Walgreens Boots Alliance, Inc.",Closed,09/21/2023,05/30/2024,"Certification of Results",Cleveland,OH,A,"Single Labor Organization",Initial,11/02/2023,2,,"Pharmacy Workers United",1,,,,,1,,,,,,"All full-time and regular part-time staff pharmacists employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, non-professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act."
"Region 08, Cleveland, Ohio",08-RM-326520,"Walgreens Boots Alliance, Inc.",Closed,09/21/2023,05/30/2024,"Certification of Results",Cleveland,OH,B,"Single Labor Organization",Initial,11/02/2023,8,,"Pharmacy Workers United",2,,,,,2,5,,1,Y,,"All full-time and regular part-time staff pharmacists employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, non-professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store # 12444 located at 3415 Clark Ave., Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act."
"Region 05, Baltimore, Maryland",05-RC-324949,"Editorial Projects in Education, Inc.",Closed,08/31/2023,11/09/2023,"Certific. of Representative",Bethesda,MD,A,"Single Labor Organization",Initial,11/01/2023,55,1,"The News Guild, a/w Communications Workers of America, AFL-CIO, CLC",32,,,,,15,47,,1,,"The News Guild, a/w Communications Workers of America, AFL-CIO, CLC","All full-time and regular part-time employees employed by the Employer, but excluding all other employees, confidential employees, managerial employees, guards, and supervisors as defined in the Act.",,,
"Region 21, Los Angeles, California",21-RC-326070,"Southland Box Company",Closed,09/19/2023,11/15/2023,"Certific. of Representative",Vernon,CA,A,"Two Labor Organizations",Initial,11/01/2023,59,,"Chauffeurs, Sales Drivers and Helpers Union, Local 572, International Brotherhood of Teamsters",52,"Printing, Packaging, & Production Workers Union of North America, District Council 2, and its Affiliated Local 388-M",2,,,,54,,,,"Chauffeurs, Sales Drivers and Helpers Union, Local 572, International Brotherhood of Teamsters","Included:  All full-time and regular part-time production and maintenance employees, shipping and receiving and warehouse employees employed by the Employer at its facility currently located at 4201 Fruitland Avenue, Vernon, California.

Excluded:  All other employees, office clerical employees, professional employees, sales employees, casual employees, employees represented by other labor organizations at the Employer, guards, and supervisors as defined in the Act.",,,
"Region 07, Detroit, Michigan",07-RC-326194,"Alta Industrial Equipment Company, LLC d/b/a Alta Equipment Company",Closed,09/19/2023,11/13/2023,"Certification of Results","Sterling Heights",MI,A,"Single Labor Organization",Initial,11/01/2023,35,,"Local 324, International Union Of Operating Engineers (IUOE), AFL-CIO",10,,,,,22,32,,,,,"All full-time and regular part-time mechanics, road technicians, service technicians, and shop technicians employed by the Employer at or out of its facility located at 7500 E. 15 Mile Road, Sterling Heights, Michigan; but excluding all office clerical employees, and guards and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-326119,"Trustees of Tufts College",Closed,09/20/2023,11/09/2023,"Certific. of Representative",Medford,MA,A,"Single Labor Organization",Initial,11/01/2023,265,,"Service Employees International Union, Local 509",167,,,,,23,190,,15,,"Service Employees International Union, Local 509","Included: All PhD students enrolled and working in the Tufts School of Engineering who provide instructional or research services, including but not limited to Teaching Assistants or Research Assistants, as a condition of receiving a stipend and/or tuition remission (regardless of funding sources).

Excluded: All undergraduate students, all post-baccalaureate students who work or provide services out of the Graduate School of Arts and Sciences or School of Engineering, all other faculty, students who are compensated on an hourly basis or who have no current work or service obligations, confidential employees, managers, guard and supervisors as defined in the Act, and all other employees.
",,,
"Region 08, Cleveland, Ohio",08-RM-326518,"Walgreens Boots Alliance, Inc.",Closed,09/21/2023,11/13/2023,"Certification of Results",Cleveland,OH,A,"Single Labor Organization",Initial,11/01/2023,2,,"Pharmacy Workers United",,,,,,2,2,,,,,"All full-time and regular part-time staff pharmacists employed by the Employer at its Store # 21316 located 6401 Broadway Ave., Cleveland, Ohio, but excluding all other employees, non-professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store #21316 located at 6401 Broadway Avenue, Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employee, guards and supervisors as defined by the Act.","All full-time and regular part-time staff pharmacists, pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store #21316 located at 6401 Broadway Avenue, Cleveland, Ohio, but excluding all other employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.",
"Region 08, Cleveland, Ohio",08-RM-326518,"Walgreens Boots Alliance, Inc.",Closed,09/21/2023,11/13/2023,"Certification of Results",Cleveland,OH,B,"Single Labor Organization",Initial,11/01/2023,4,,"Pharmacy Workers United",,,,,,4,4,,,,,"All full-time and regular part-time staff pharmacists employed by the Employer at its Store # 21316 located 6401 Broadway Ave., Cleveland, Ohio, but excluding all other employees, non-professional employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.","All full-time and regular part-time pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store #21316 located at 6401 Broadway Avenue, Cleveland, Ohio, but excluding all other employees, professional employees, managers, interns, confidential employees, office clerical employee, guards and supervisors as defined by the Act.","All full-time and regular part-time staff pharmacists, pharmacy technicians and pharmacy customer service associates employed by the Employer at its Store #21316 located at 6401 Broadway Avenue, Cleveland, Ohio, but excluding all other employees, managers, interns, confidential employees, office clerical employees, guards and supervisors as defined by the Act.",
"Region 04, Philadelphia, Pennsylvania",04-RC-327419,"Vibrant Coffee Roasters, LLC",Closed,10/06/2023,11/09/2023,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,11/01/2023,17,,"Philadelphia Joint Board, Workers United a/w SEIU",14,,,,,1,15,,,,"Philadelphia Joint Board, Workers United a/w SEIU","Included: All full-time and regular part-time baristas, bakers, head bakers and porters employed by the Employer at its 222 W. Rittenhouse Square (“Rittenhouse”) and 2955 Market Street (“30th Street Station”) locations.
.
Excluded: All other employees, office clerical employees, store managers, and supervisors as defined in the Act.
",,,
"Region 31, Los Angeles, California",31-RC-313506,"Walt Disney Pictures d/b/a Walt Disney Animation Studios",Closed,03/06/2023,11/09/2023,"Certific. of Representative",Burbank,CA,A,"Single Labor Organization",Initial,11/01/2023,71,,IATSE,63,,,,,5,68,,,,IATSE,"Included:  All regular and project-based, full-time production employees of the Employer in the following classifications: Production Coordinators, Production Supervisors, and Production Managers. 

Excluded:  All other employees, including managers, confidential employees, guards, and supervisors as defined in the Act, as amended. 

",,,
"Region 19, Seattle, Washington",19-RC-323818,"Lumenal Lighting , LLC",Closed,08/15/2023,01/19/2024,"Certific. of Representative","Mountlake Terrace",WA,A,"Revised Single Labor Org",Initial,10/31/2023,10,,"International Brotherhood of Electrical Workers, Local Union No. 46, AFL-CIO",4,,,,,2,6,,,,"International Brotherhood of Electrical Workers, Local Union No. 46, AFL-CIO","All full-time and regular part-time journeyman electricians and electrical apprentices/trainees employed by the Employer and performing electrical construction and/or electrical maintenance/repair/retrofit on electrical systems for the Employer in Whatcom, Skagit, Snohomish, King, Pierce, Thurston, Mason, Kitsap, Jefferson, Island, San Juan, Grays Harbor, and Clallam Counties in the State of Washington; excluding  all other employees, office clericals, managerial employees, and guards and supervisors as defined by the Act.",,,
"Region 07, Detroit, Michigan",07-RC-325153,"Triple Canopy, Inc.",Closed,09/01/2023,11/17/2023,"Certific. of Representative","Battle Creek",MI,A,"Single Labor Organization",Initial,10/31/2023,17,,"International Union, Security, Police, and Fire Professionals of America (SPFPA)",8,,,,,,13,,5,,"International Union, Security, Police, and Fire Professionals of America (SPFPA)","All full-time armed Lieutenants performing guard duties as defined in Section 9(b)(3) of the Act working out of Area A and Area B on the Employer’s FPS Michigan contract; but excluding office clerical employees, managers, professional employees, and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RD-326670,"Park Hill Tenants Corp.",Closed,09/22/2023,11/08/2023,"Certification of Results","New York",NY,A,"Single Labor Organization",Initial,10/31/2023,14,,"Local 670 Stationary Engineers Firemen Maintenance and Building Services Union RWDSU, UFCW, AFL-CIO",4,,,,,9,13,,,,"Local 670 Stationary Engineers Firemen Maintenance and Building Services Union RWDSU, UFCW, AFL-CIO","Included: All full time and regular part-time building service employees employed by
the Employer at 1199 Park Avenue, New York, New York, who were employed
during the payroll period ending September 17, 2023,
Excluded: All managers, guards, and supervisors as defined by the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-326993,"Rising for Justice, Inc.",Closed,10/02/2023,11/08/2023,"Certific. of Representative",Washington,DC,A,"Single Labor Organization",Initial,10/31/2023,15,,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild – Communications Workers of America, AFL-CIO, CLC",13,,,,,,13,,3,,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild – Communications Workers of America, AFL-CIO, CLC","All full-time and regular part-time employees with the following job classifications at the Employer’s facility currently located at 901 4th Street NW Washington, DC: staff attorney, senior staff attorney, supervising attorney, administrative assistant, paralegal, development outreach and communications specialist, associate development manager, and all non-professional employees; but excluding managerial employees, confidential employees, guards, and supervisors as defined in the Act.

However, the classifications of Director Housing Advocacy and Litigation Clinic (HALC); Deputy Director, Tenant Justice Program; and Director of Operations are neither included in nor excluded from the bargaining unit covered by this certification, inasmuch as the parties did not agree on the inclusion or exclusion of these classifications but agreed to vote them subject to challenge and resolution of their inclusion or exclusion was unnecessary because, in the circumstances of this case, their ballots were not determinative of the election results.

The classification of Director of Institutional Advancement is also neither included in nor excluded from the bargaining unit covered by this certification, inasmuch as the parties did not agree on the inclusion or exclusion of the classification and there was no current employee permanently filling the position.
",,,
"Region 32, Oakland, California",32-RD-327210,"Northwest Pipe Company",Closed,10/03/2023,11/09/2023,"Certification of Results",Tracy,CA,A,"Single Labor Organization",Initial,10/31/2023,73,,"Northern California District Council of Laborers and Laborers Local Union No. 73, affiliated with the Laborers International Union of North America, AFL-CIO",17,,,,,47,64,,,,,"All full-time and regular part-time production and maintenance employees employed by the Employer at its facility located at 10100 West Linne Road, Tracy, CA 95215; excluding executives, timekeepers, confidential employees, guards, and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RC-327729,"Pearl of Elk Grove, LLC",Closed,10/12/2023,11/13/2023,"Certific. of Representative","Elk Grove Village",IL,A,"Single Labor Organization",Initial,10/31/2023,56,,"SEIU Healthcare Illinois/Indiana",30,,,,,5,35,,6,,"SEIU Healthcare Illinois/Indiana","Included: All full-time and regular part-time Certified Nursing Assistants (CNAs), Dietary employees, Housekeeping employees, Laundry employees, Activity Aides, Rehab Aides, and Psychosocial Aides employed by the Employer at its facility currently located at 1920 Nerge Road, Elk Grove Village, IL.

Excluded: Licensed Practical Nurses, Registered Nurses, confidential employees, casual employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 14, Saint Louis, Missouri",14-RC-325572,"AJO MO DISPO LLC",Closed,09/12/2023,11/13/2023,"Certific. of Representative","Kansas City",MO,A,"Single Labor Organization",Initial,10/30/2023,8,,"International Brotherhood of Teamsters Local Union 955",6,,,,,1,7,,3,,"International Brotherhood of Teamsters Local Union 955","All full-time and part-time Budtenders and Inventory Clerks employed by the Employer and performing work at HomeState Dispensary at 509 East 18th Street, Kansas City, Missouri 64108, but EXCLUDING all office clerical employees, managerial employees, professional employees, guards, other employees, and supervisors as defined in the National Labor Relations Act.",,,
"Region 01, Boston, Massachusetts",01-RC-325937,"Goodspeed Opera House Foundation, Inc.",Closed,09/18/2023,11/07/2023,"Certific. of Representative","East Haddam",CT,A,"Single Labor Organization",Initial,10/30/2023,45,,"International Alliance of Theatrical Stage Employees",35,,,,,5,40,,3,,"International Alliance of Theatrical Stage Employees","All full time and regular part time stagehands, lighting technicians, costume crafts persons, wardrobe workers, sound technicians, property crafts persons, running crew, scenic artists, scenic carpenters, stage supervisors, assistant costume shop managers, wardrobe master, and makeup, hair and wig stylists employed by the Employer at its Goodspeed Opera House, Terris Theatre, scenery shop, costume shop and scenery paint shop; but excluding costume shop managers, directors of production, sound designers, audio supervisors, props supervisors, technical directors, assistant tech directors, lighting supervisors, charges scenic, directors, clerical employees, and guards, professional employees and supervisors as defined in the Act.

Others Permitted to Vote:  The parties agree that Costume Rentals Coordinators and Rental Assistants may vote in the election, but their ballots will be challenged since their eligibility has not been resolved.  No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-326387,"VetCor Management Company, LLC d/b/a Lehigh Valley Animal Hospital",Closed,09/22/2023,11/07/2023,"Certific. of Representative",Bath,PA,A,"Single Labor Organization",Initial,10/30/2023,10,,"International Association of Machinists & Aerospace Workers (IAM)",6,,,,,1,7,,,,"International Association of Machinists & Aerospace Workers (IAM)","Included: All full-time and regular part-time Veterinary Technicians, Lead Veterinary Technicians, CCR/Receptionists, and Lead CCR/Receptionists employed by the Employer at its 7161 Beth Bath Pike, Bath, Pennsylvania facility.

Excluded: All other employees, veterinarians, managers, guards, and supervisors as defined in the Act. 
",,,
"Region 25, Indianapolis, Indiana",25-RC-326435,"Alpha Baking Co., Inc.",Closed,09/25/2023,11/07/2023,"Certific. of Representative",Indianapolis,IN,A,"Single Labor Organization",Initial,10/30/2023,8,,"Teamsters Local 135",6,,,,,,6,,,,"Teamsters Local 135","Included:  All full-time and regular part-time shipping clerks employed by the Employer at its 5736 W. 86th Street, Indianapolis, Indiana facility  
Excluded:  All office clerical employees, professional employees, managerial employees, guards and supervisor as defined in the Act, and all other employees.",,,
"Region 31, Los Angeles, California",31-RC-326888,"MV Transportation, Inc.",Closed,09/28/2023,11/08/2023,"Certific. of Representative",Lancaster,CA,A,"Single Labor Organization",Initial,10/30/2023,26,,"International Brotherhood of Teamsters, Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers, Local 848",23,,,,,2,25,,,,"International Brotherhood of Teamsters, Wholesale Delivery Drivers, General Truck Drivers, Chauffeurs, Sales, Industrial and Allied Workers, Local 848","Included: All regular Full-Time and regular Part-Time Mechanic Technician employees, Utility employees and Parts employees employed by the Employer at 42210 6th St W, Lancaster, CA 93534. 

Excluded: All other employees, Professional employees, Managerial employees, Guards and Supervisors as defined by the Act, as amended.
",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-325003,"UHS of Fairmount, Inc.",Closed,09/01/2023,11/06/2023,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,10/27/2023,150,,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",64,,,,,51,115,,4,,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO","Included: All full-time, regular part-time, and per diem* Registered Nurses, Therapists, Lead Therapists, UR Coordinators, and Dietitians employed by the Employer at its 561 Fairthorne Avenue, Philadelphia, Pennsylvania facility.
 
Excluded: All other employees, non-professional employees, Licensed Practical Nurses (LPNs), office clericals, guards, and supervisors as defined in the Act. 

*Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.
",,,
"Region 01, Boston, Massachusetts",01-RC-325730,"Wynn MA LLC d/b/a Encore Boston Harbor",Closed,09/14/2023,11/06/2023,"Certification of Results",Everett,MA,A,"Single Labor Organization",Initial,10/27/2023,111,,"International Brotherhood of Electrical Workers, Local 103",24,,,,,56,80,,,,,"All full-time and regular part-time poker dealers, but excluding office clerical employees, confidential employees, managers, guards, and professional employees and supervisors as defined in the Act, and all other employees.",,,
"Region 04, Philadelphia, Pennsylvania",04-RM-325818,"UHS of Fairmount, Inc.",Closed,09/14/2023,11/06/2023,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,10/27/2023,150,,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",64,,,,,51,115,,4,,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO","Included: All full-time, regular part-time, and per diem* Registered Nurses, Therapists, Lead Therapists, UR Coordinators, and Dietitians employed by the Employer at its 561 Fairthorne Avenue, Philadelphia, Pennsylvania facility.
 
Excluded: All other employees, non-professional employees, Licensed Practical Nurses (LPNs), office clericals, guards, and supervisors as defined in the Act. 

*Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.
",,,
"Region 10, Atlanta, Georgia",10-RC-326004,"Dal-TIle Tennessee, LLC",Closed,09/18/2023,11/06/2023,"Certification of Results",Dickson,TN,A,"Single Labor Organization",Initial,10/27/2023,111,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied & Industrial Service Workers International Union, AFL-CIO, CLC (USW)",45,,,,,58,103,,,,,"All full-time and regular part-time Administrative Coordinators, Fabricator IIs, Group Leaders, Inventory Control Specialists, Maintenance Coordinators, Maintenance Planners, Maintenance Technician II-Vs, Material Handlers, Material Handler Is, Material Handler Techs, Operations Trainers, Operators, Process Technicians, Quality Control Operators, Quality Control Technicians, Raw Materials Receiving Operators, Specialized Technicians, Stockroom Attendants, Technical Operators, Technicians, and Truck drivers employed by Employer at its facility located at 1665 Old Columbia Road, Dickson, Tennessee, but excluding all temporary employees, office clerical employees, professional employees, managerial employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-326394,"Reed College",Closed,09/22/2023,11/06/2023,"Certific. of Representative",Portland,OR,A,"Single Labor Organization",Initial,10/27/2023,44,,"Office and Professional Employees International Union Local 11",36,,,,,2,38,,,,"Office and Professional Employees International Union Local 11","All Housing Advisers employed by the Employer at its Portland, Oregon campus but excluding all non-student staff employed at the Employer’s Residence Life Department, all other student employees employed by the Employer and guards and supervisors as defined by the Act.",,,
"Region 03, Buffalo, New York",03-RC-325196,"Covanta Niagara I, LLC",Closed,09/06/2023,11/03/2023,"Certification of Results","Niagara Falls",NY,A,"Single Labor Organization",Initial,10/26/2023,75,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 17, AFL-CIO",33,,,,,37,70,,,,,"Included: All full-time and regular part-time Control Room Operators, Assistant Control Room Operators, Scale Attendants, Truck Drivers, Equipment Operators, Lead Equipment Operators, Auxiliary Operators, Lead Load Operators, Back Plant Operators, Utility Operators, Reach Stackers, Painters, Electricians, Instrument and Controls Technicians, Electrical and Instrument Technicians, Mobile Equipment Mechanics, Maintenance Mechanics, Container Mechanics, and Storekeepers employed by the Employer at its Niagara Falls, New York location.
Excluded: temporary employees, casual employees, office clerical employees, managers, guards, professional employees and supervisors as defined in the Act and all other employees.
",,,
"Region 19, Seattle, Washington",19-RC-325654,"Providence Health & Services - Oregon d/b/a Providence Hood River Memorial Hospital",Closed,09/13/2023,11/03/2023,"Certification of Results",Portland,OR,A,"Single Labor Organization",Initial,10/26/2023,9,,"Providence Health & Services - Oregon d/b/a Providence Hood River Memorial Hospital",7,,,,,1,8,,,,"Providence Health & Services - Oregon d/b/a Providence Hood River Memorial Hospital","INCLUDED:	All full-time, regular part-time, and per diem Home Health and Hospice Physical Therapists, Occupational Therapists, Licensed Clinical Social Workers, and Clinical Social Worker Associates employed by the Employer in the Oregon Columbia Gorge service area.
EXCLUDED:	All other employees, non-professional employees, coordinators, specialty pharmacy/infusion, Sisters of Providence, administrative personnel, guards and supervisors as defined by the Act. 
",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-325929,"Covanta Delaware Valley, L.P.",Closed,09/18/2023,11/03/2023,"Certific. of Representative",Chester,PA,A,"Single Labor Organization",Initial,10/26/2023,98,1,"International Union of Operating Engineers Local 542",69,,,,,18,89,,2,,"International Union of Operating Engineers Local 542","Included: All full-time and regular part-time employees employed by the Employer at Covanta Chester County plant located at 10 Highland Ave, Chester, Pennsylvania facility in the following classifications:

1. Auxiliary Operator	9. Lead Maintenance Mechanic
2. Back Plant Operator	10. Lead Mobile Equipment Mechanic
3. Control Room Operator	11. Maintenance Mechanic
4. Electrical and Instrument Technician	12 Mobile Equipment Mechanic
5. Equipment Operator	13 Scale Attendant
6. Instrument and Controls Technician	14. Shuttle Driver
7. Lead Electrical and Instrument Technician	15 Utility Operator
8. Lead Equipment Operator	16 Water Systems Operator

Excluded: All other employees, including office clerical employees and guards and supervisors as defined by the Act. 

	Others permitted to vote: The parties have agreed that Storekeepers may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election.
",,,
"Region 20, San Francisco, California",20-RC-326084,"Snap Studios LLC, by KQED Inc.",Closed,09/18/2023,11/14/2023,"Certific. of Representative","San Francisco",CA,A,"Single Labor Organization",Initial,10/26/2023,13,,"National Association of Broadcast Employees and Technicians-CWA",10,,,,,1,11,,1,,"National Association of Broadcast Employees and Technicians-CWA",,,,
"Region 18, Minneapolis, Minnesota",18-RC-326297,"Stout Construction, LLC",Closed,09/21/2023,11/02/2023,"Certification of Results",Chetek,WI,A,"Single Labor Organization",Initial,10/26/2023,14,,"International Union of Operating Engineers, Local 139, AFL-CIO",2,,,,,11,13,,1,,,"Included:  All full-time and regular part-time equipment operators and foremen employed in the construction industry by the Employer in the State of Wisconsin.

Excluded:  All other employees, including employees in the Employer’s mining and/or sand and gravel hauling operations, clerical employees, and guards and supervisors as defined by the Act, as amended.",,,
"Region 04, Philadelphia, Pennsylvania",04-RM-326854,"ABC Supply Co, Inc.",Closed,09/28/2023,11/03/2023,"Certification of Results",Philadelphia,PA,A,"Single Labor Organization",Initial,10/26/2023,5,,"Highway Truck Drivers and Helpers Local 107 a/w International Brotherhood of Teamsters",1,,,,,4,5,,,,,"INCLUDED:  All full-time and regular part-time Warehouse Material Handlers & Other Drivers (Lead Personnel, Box/Straight Trucks) and Delivery Driver I (Conveyor, Knuckleboom, Boom, Moffett, Lull, & Tractor Drivers) employed by the Employer at its 11500 Roosevelt Blvd., Philadelphia, PA facility.

EXCLUDED:  All other employees, guards and supervisors as defined in the Act.
",,,
"Region 32, Oakland, California",32-RC-326930,"CBRE, Inc.",Closed,09/29/2023,11/03/2023,"Certific. of Representative","Mountain View",CA,A,"Single Labor Organization",Initial,10/26/2023,17,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO",16,,,,,,16,,,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 39, AFL-CIO","All full-time and regular part-time Chief Engineers, Assistant Chief Engineers, Stationary Engineers, and Utility Engineers employed by the Employer at 2000 N. Shoreline Blvd., Mountain View, CA 94043; excluding all other employees, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.",,,
"Region 09, Cincinnati, Ohio",09-RD-326871,"FIAT PRODUCTS LLC",Closed,09/29/2023,11/06/2023,"Certification of Results",Somerset,KY,A,"Single Labor Organization",Initial,10/26/2023,25,,"International Brotherhood of Teamsters (IBT), Local Union No. 651",9,,,,,14,23,,,,,"All full-time and part-time production (manufacturing) and maintenance employees employed by the Employer at its facility located at 706 Highway 3057, Somerset, Kentucky, but excluding all non-manufacturing processes including but not limited to all executive, professional, administrative, engineering, technical or outside sales employees otherwise classified as “salaried positions” as defined by the Fair Labor Standards Act, all office clerical employees, guards and supervisors, as defined in the Act.",,,
